benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash,stride2_size,img_size,stride
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5885935,2336513,316308,294462,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1942459,2459725,66138,46209,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2816796,3498423,2158406,183980,161810,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3045065,1287937,159514,146085,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,918578,1280077,33296,21202,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12858642,24767637,29717486,1360462,1123853,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28318714,26019621,1343078,887822,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,25735457,27972813,852075,411628,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10536098,16496169,15041655,927129,835227,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12197091,8641553,730523,704105,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7586858,9551197,264579,197564,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9553945,12845828,7677014,734405,701626,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10403914,4440457,637491,633295,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3935817,4825813,140166,97770,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5434742,6993465,4001654,371378,328372,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5969992,2343305,316749,294694,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1859613,2459725,66240,46329,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2811905,3482451,2158406,183885,161839,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3077254,1287937,159544,146194,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,937331,1286869,33617,21335,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12822414,24188662,29717486,1340881,1124006,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28399976,26002013,1348749,887572,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,16235785,19001965,528578,395567,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10597421,17089242,15023838,961992,832850,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12063144,8641553,729212,704852,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7625798,9551197,264481,197547,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9534511,12572023,7677014,735789,699021,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10395003,4447249,630785,632994,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3928701,4825813,140056,97742,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5391054,6834941,4001661,368041,328327,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5925168,2336513,316036,294579,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1960419,2459725,68515,46419,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2810346,3492593,2158406,183878,161832,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3053783,1287937,159479,146193,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,920134,1280077,33266,21217,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12819201,24078156,29717486,1340615,1124125,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28344014,26001616,1344799,887658,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,16202254,19008757,528911,395728,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10633592,17154924,15038151,962643,833787,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12069858,8641553,729425,704453,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7408237,9551197,264501,197556,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9566041,12544206,7677014,733257,698100,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10488586,4447249,630580,633467,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3858061,4825813,134388,97860,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5416699,7162548,3993414,374165,327879,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5918700,2336513,319791,294630,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,2102714,2466517,66517,46607,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2815497,3483913,2158406,183863,161880,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3074036,1287937,161200,146230,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,921763,1280077,33282,21106,33554432,2,512x64x64x8,64
