tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15814517,19093488,395027,142119,413787,145311,1400896,2097200,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18530213,25517246,15348729,1321063,142238,1329293,140011,2458986,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,19971444,8884524,1185146,81161,1190341,68026,1834412,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7568919,9649512,197658,76451,198467,66071,743718,1048656,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10772644,13684194,7988321,658357,76670,666033,66920,1271729,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11766660,4676636,591684,44214,596325,34352,945380,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,3996218,4924128,97848,42611,103713,33954,405960,524352,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5466971,6962073,4311513,329469,43482,334042,33925,677337,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5902072,2572692,293835,22226,299217,17363,471635,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1923337,2558040,46351,23240,49386,16703,215863,262192,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24562651,47076118,59424408,2107358,534974,2119095,527431,6387161,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54777814,52012698,1629086,292151,2141251,579242,3966278,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,31016360,38001816,790787,273170,793701,263260,2713998,4194400,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20748944,32946374,30042458,1580341,273317,1616615,275546,3766887,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23077920,17281452,1317191,146266,1324230,133821,2487303,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15346353,19093488,395029,142107,396720,131744,1400801,2097216,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18587455,25172965,15358230,1321760,142312,1330326,140789,2460250,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20242507,8884524,1185269,81135,1192215,68121,1834333,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7591692,9649512,197573,76296,198640,66236,742393,1048640,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10759764,13711902,7988321,658253,76042,668301,69137,1266601,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11776684,4669844,591855,42851,596220,34246,934647,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4163701,4924128,97860,42676,99220,33212,406488,524368,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5459836,6962792,4313046,329611,43383,334023,33801,676677,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5976948,2572692,294856,21200,299216,17437,464441,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1859514,2558040,46378,23304,49389,16720,216416,262176,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24550395,47261236,59432691,2107927,535303,2118464,527391,6390376,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54732482,52018600,1629923,292085,2145440,581792,3966587,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,51330191,55939128,823741,283296,1198636,500184,2827931,4194592,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20815012,34697434,30043979,1588079,273856,1604091,279712,3778921,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23382018,17279924,1317399,146297,1326255,133904,2487768,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15868101,19100280,400551,142183,396914,131812,1406937,2097264,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18547876,24585045,15348729,1316897,142284,1321114,133508,2455163,0,,369098752
