benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_512_512_3_2,cpu,13710216,32026564,63242326,588764,227238,678881,246109,2406670,0,15660739.682568
im2col_512_512_3_2,dtu,0,22228097,25553334,214744,21259,251342,17727,188908,3134400,15660739.682568
im2col_512_512_3_3,cpu,30572879,70293167,141485215,1302403,472879,1457468,487168,5085437,0,35097764.368288
im2col_512_512_3_3,dtu,0,49484269,57019593,489707,22427,547096,19054,201695,7478720,35097764.368288
im2col_512_512_3_4,cpu,125530869,194266191,303552062,2351653,837326,3334684,1260920,9050262,0,62151040.594557
im2col_512_512_3_4,dtu,0,91098575,100815213,805952,23794,972934,21676,217210,12465408,62151040.594557
im2col_512_512_3_5,cpu,195375213,302476555,473067504,3749730,1302444,5174633,1986743,14169273,0,96728317.448405
im2col_512_512_3_5,dtu,0,127304745,156975567,1330523,40418,1296409,52903,371563,20516848,96728317.448405
im2col_720_1080_3_2,cpu,40942235,92623128,187775351,1860251,647062,1834144,644165,7036757,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62788764,75907075,639261,55082,657822,58693,497451,9319456,46556225.682564
im2col_720_1080_3_3,cpu,214518118,328889429,510431502,4209075,1420408,5464646,2166055,15572330,0,104510508.703681
im2col_720_1080_3_3,dtu,0,134122874,169636032,1372434,57512,1473659,74363,524687,20925232,104510508.703681
im2col_720_1080_3_4,cpu,379861632,579621326,904694021,7435901,2470556,9589766,3785503,27200351,0,185368372.285505
im2col_720_1080_3_4,dtu,0,235640927,300419236,2402493,60489,2541741,96769,563077,37173024,185368372.285505
im2col_720_1080_3_5,cpu,591948620,904704942,1410752055,11640778,3864648,15141340,5915326,42557963,16,288966436.730617
im2col_720_1080_3_5,dtu,0,368171880,468585281,3771226,111283,3906034,161161,1037108,57989984,288966436.730617
im2col_512_512_3_2,cpu,13685836,32013696,63242326,589047,227231,678627,246310,2406899,0,15660739.682568
im2col_512_512_3_2,dtu,0,22231538,25553406,214627,21183,250921,17727,188179,3134464,15660739.682568
im2col_512_512_3_3,cpu,30594733,70337467,141502026,1303740,473116,1457068,487408,5088672,0,35097764.368288
im2col_512_512_3_3,dtu,0,49438956,57012792,489311,22369,546365,18943,201157,7473696,35097764.368288
im2col_512_512_3_4,cpu,125236922,193999082,303559747,2360216,839082,3318525,1259270,9072873,0,62151040.594557
im2col_512_512_3_4,dtu,0,91102481,100822782,806297,23860,972677,21752,218150,12464576,62151040.594557
im2col_512_512_3_5,cpu,195393618,302654290,473073748,3757739,1303964,5179195,1990975,14189452,16,96728317.448405
im2col_512_512_3_5,dtu,0,127310364,156967806,1330156,39863,1295990,52673,366601,20519248,96728317.448405
im2col_720_1080_3_2,cpu,40964345,92708339,187785510,1861469,647119,1835614,644200,7038442,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62764878,75906994,639266,54992,658742,58442,496718,9319744,46556225.682564
