img_augmentation_128_4,dtu,0,10377396,9193161,175314,86787,203467,99323,783523,1376832,,0
img_augmentation_128_8,cpu,827067042,838063112,822124502,747427,354277,2289012,413546,3581616,0,,0
img_augmentation_128_8,dtu,0,19401760,17455719,355471,175482,376265,185243,1587254,2752976,,0
img_augmentation_128_16,cpu,1628953802,1656016585,1647184379,1533624,701325,4636900,871901,7144222,16,,0
img_augmentation_128_16,dtu,0,37289143,33970246,708822,344589,721851,357041,3121442,5505472,,0
img_augmentation_128_32,cpu,3293646804,3394569441,3345358884,4153515,1425893,10150465,2157725,15560662,96,,0
img_augmentation_128_32,dtu,0,71188132,67133646,1388575,690456,1418253,703312,6224052,11010624,,0
img_augmentation_128_64,cpu,6830107173,7034398085,6737871999,8136359,2874002,21660156,5147599,31128356,192,,0
img_augmentation_128_64,dtu,0,245860448,227028844,2923414,1426420,4311659,2305643,12958398,22021888,,0
img_augmentation_256_4,cpu,1622483988,1649623296,1646795293,1820482,702532,5051352,879412,7440737,0,,0
img_augmentation_256_4,dtu,0,38668866,34002844,708730,345467,723063,357746,3128336,5505488,,0
img_augmentation_256_8,cpu,3294356964,3395042805,3344625069,5215837,1428542,10853130,2125767,16644127,320,,0
img_augmentation_256_8,dtu,0,74426332,67106886,1390016,690211,1417383,703024,6223516,11010592,,0
img_augmentation_256_16,cpu,6653194146,6858076883,6736084072,10682111,2889603,22921463,4987566,33798907,272,,0
img_augmentation_256_16,dtu,0,249300680,227010011,2935403,1435893,4265443,2271278,13045054,22040048,,0
img_augmentation_256_32,cpu,13382819780,13798324904,13526716797,20778591,5804394,47714027,11229200,67213706,336,,0
img_augmentation_256_32,dtu,0,496598635,453697013,5863242,2872729,8607094,4580849,26090348,44075264,,0
img_augmentation_256_64,cpu,27852716014,28702512000,27058324620,31785977,11886854,96533795,22797563,126880746,896,,0
img_augmentation_256_64,dtu,0,1004263958,909689888,11669481,5706314,17404413,9466823,51814292,88090752,,0
img_augmentation_128_4,cpu,416486287,421806077,411083574,346456,179974,1143283,206374,1786248,16,,0
img_augmentation_128_4,dtu,0,10480470,9199940,176752,89309,203525,99454,805136,1376832,,0
