benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_6_64,cpu,0,6318062,5614055,376640,39156,369447,32333,689888,0,1028292886
dbcolproj_83690_6_64,col,0,5157409,6116195,63486,20870,64317,31370,230460,0,1028292886
dbcolproj_83690_6_64,dtu,0,2962380,1262188,63235,29416,63378,31528,267178,502176,1028292886
dbcolproj_83690_7_64,cpu,0,6585147,6457747,382899,44315,374971,37646,737411,0,1199800837
dbcolproj_83690_7_64,col,0,9904677,9542145,78642,27777,115481,59933,300865,0,1199800837
dbcolproj_83690_7_64,dtu,0,6290941,3988165,77860,35977,104354,51504,329050,585984,1199800837
dbcolproj_83690_8_64,cpu,0,10772866,10141552,398964,52578,475956,98073,819580,0,1371400385
dbcolproj_83690_8_64,col,0,12133222,10823575,89900,33255,130186,66080,355947,0,1371400385
dbcolproj_83690_8_64,dtu,0,7202679,4543277,88305,41333,121594,59589,377106,669648,1371400385
dbcolproj_83690_1_64,cpu,0,1889053,1422763,89606,6330,89967,5365,140248,0,171348942
dbcolproj_83690_1_64,col,0,662290,1513245,11189,4084,10786,5125,43853,0,171348942
dbcolproj_83690_1_64,dtu,0,500084,209271,10509,4917,10529,5283,44607,83728,171348942
dbcolproj_83690_2_64,cpu,0,3813385,2266455,279311,19326,180127,10962,433910,0,343055996
dbcolproj_83690_2_64,col,0,1068347,2427043,21660,3831,21256,10259,52317,0,343055996
dbcolproj_83690_2_64,dtu,0,1003869,425288,21070,9714,21285,10602,88315,167440,343055996
dbcolproj_83690_3_64,cpu,0,4002514,3105330,297122,24243,185497,16200,491058,0,514196633
dbcolproj_83690_3_64,col,0,1812408,3347633,32483,7626,31957,15508,93500,0,514196633
dbcolproj_83690_3_64,dtu,0,1478432,627721,31482,14806,31562,15738,134237,251104,514224886
dbcolproj_83690_4_64,cpu,0,5154490,3947075,341306,29228,274952,21673,575130,0,685765807
dbcolproj_83690_4_64,col,0,2826045,4268223,42385,11991,42702,20776,138322,0,685765807
dbcolproj_83690_4_64,dtu,0,1956918,836946,41968,19277,42078,21000,175244,334765,685765807
dbcolproj_83690_5_64,cpu,0,5436570,4792362,354621,34318,280521,27023,629159,0,857656862
dbcolproj_83690_5_64,col,0,3933107,5195605,53286,16330,53674,26102,183922,0,857656862
dbcolproj_83690_5_64,dtu,0,2464010,1052963,52636,24387,52810,26326,221551,418512,857656862
dbcolproj_83690_6_64,cpu,0,6345281,5620847,376834,39372,369763,32465,691802,0,1028292886
dbcolproj_83690_6_64,col,0,5133869,6116195,63623,20835,64371,31367,230327,0,1028292886
dbcolproj_83690_6_64,dtu,0,2937355,1255396,62941,29356,63095,31432,266388,502208,1028315236
dbcolproj_83690_7_64,cpu,0,6563682,6450955,382371,44278,374790,37549,736596,0,1199800837
dbcolproj_83690_7_64,col,0,9902142,9535628,78342,27679,114910,59345,299782,0,1199800837
dbcolproj_83690_7_64,dtu,0,6352998,3975586,77844,35877,115555,61450,328241,585908,1199800837
dbcolproj_83690_8_64,cpu,0,10839004,10132191,398126,52232,479946,98765,815965,0,1371400385
dbcolproj_83690_8_64,col,0,12129179,10840460,89431,33385,130695,67248,356525,0,1371400385
dbcolproj_83690_8_64,dtu,0,7221523,4530953,88538,41452,132176,68763,378293,669632,1371400385
dbcolproj_83690_1_64,cpu,0,1865492,1429555,89840,6504,90256,5445,141873,0,171348942
dbcolproj_83690_1_64,col,0,623650,1506453,10835,3931,10554,4998,42273,0,171348942
dbcolproj_83690_1_64,dtu,0,499987,209271,10503,4899,10530,5260,44466,83728,171348942
dbcolproj_83690_2_64,cpu,0,3797880,2259663,279293,19130,179941,10872,432327,0,343055996
dbcolproj_83690_2_64,col,0,1091810,2427043,21686,3890,21247,10270,52805,0,343055996
dbcolproj_83690_2_64,dtu,0,988074,418496,20987,9517,21037,10492,86650,167440,343055996
dbcolproj_83690_3_64,cpu,0,3995035,3103355,297356,24269,185499,16164,491509,0,514196633
dbcolproj_83690_3_64,col,0,1827428,3347633,32438,7635,31933,15483,93527,0,514196633
dbcolproj_83690_3_64,dtu,0,1490716,634513,31742,14761,31784,15837,134143,251008,514196633
dbcolproj_83690_4_64,cpu,0,5132243,3940255,341252,29162,274772,21613,574541,0,685765807
dbcolproj_83690_4_64,col,0,2877543,4275015,42702,12169,42882,20867,140089,0,685765807
dbcolproj_83690_4_64,dtu,0,1983776,843738,42214,19401,42316,21046,176476,334816,685765807
dbcolproj_83690_5_64,cpu,0,5387691,4777155,353779,34148,280142,26913,626964,0,857656862
dbcolproj_83690_5_64,col,0,3950522,5195605,53047,16445,53501,26102,184624,0,857656862
dbcolproj_83690_5_64,dtu,0,2470464,1052963,52778,24393,52822,26288,221770,418528,857656862
dbcolproj_83690_6_64,cpu,0,6306910,5614055,376511,39090,369465,32328,689232,0,1028292886
dbcolproj_83690_6_64,col,0,5123672,6116195,63542,20899,64424,31399,230758,0,1028292886
dbcolproj_83690_6_64,dtu,0,2950622,1262188,63176,29148,63343,31568,264959,502180,1028292886
dbcolproj_83690_7_64,cpu,0,6574798,6457747,383139,44359,375745,37704,738012,0,1199800837
dbcolproj_83690_7_64,col,0,9891262,9542703,78799,27883,114376,59670,301868,0,1199800837
dbcolproj_83690_7_64,dtu,0,6376522,3971190,79322,37164,112814,59110,339840,588652,1199800837
