benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,76686413,38073372,1064125,795253,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32608870,71906413,30107384,1867461,1595206,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51194319,17333540,1474066,1322815,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,38510259,19139955,532198,397978,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26458877,45161005,15381605,1464721,1325749,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35306069,8909467,1270872,1189373,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19408163,9668647,266223,198810,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33527479,43822678,8048355,751847,660961,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38453210,4723315,637743,594138,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10667348,4936963,155002,98530,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17167393,22402219,4330648,375839,328400,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,20129894,2591827,331480,296329,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,4945867,2571121,66937,47288,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47233421,123221635,59552716,2849054,2117119,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,134178156,52160339,3312440,1640189,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,124668075,56053282,2342178,827036,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32610468,71321556,30107298,1867481,1586700,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,50901333,17335263,1473227,1322911,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,36727849,19132015,531871,397377,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26396134,46977699,15388136,1518086,1325809,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35257647,8909467,1270897,1189662,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19834123,9670114,296034,198860,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33529125,43442246,8041573,735412,660625,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,40148862,4728255,651533,594398,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10086783,4930417,147943,98174,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17184273,22765439,4337194,376324,330109,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,20617699,2598373,327617,295915,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5156490,2571121,66982,47109,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47131463,121471169,59554612,2672111,2125674,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133852222,52141435,3307076,1638836,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,122374528,56047216,2352161,826170,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32612461,72532425,30105858,1955091,1586556,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51548005,17326270,1473207,1322501,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,36744427,19138561,532337,397775,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26500782,46632572,15396621,1498454,1322286,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,34827856,8904934,1269986,1189154,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19456550,9668647,266285,198731,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33521101,43432207,8041464,735417,660628,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,40242496,4729740,651811,594496,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,9470040,4931941,133069,98381,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17188102,22455159,4338718,376424,329073,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,20512798,2591827,327120,295426,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,4916408,2564575,66575,46861,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47259615,129821077,59576951,2793619,2127142,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133808406,52144186,3302133,1639335,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,73763441,38073855,1064078,803989,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32599379,70723024,30100838,1955993,1586211,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51987271,17324259,1532322,1322366,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,36770632,19132015,531947,397319,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26381656,46288544,15381954,1489154,1321385,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35251465,8909467,1270582,1189499,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,20089115,9670632,310441,198865,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33488155,43426366,8041925,735298,660454,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38623648,4721709,637397,594071,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10387730,4936963,149883,98654,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17180220,22729493,4330648,375935,329689,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19684147,2591827,320119,295428,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5127354,2564575,66573,46883,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47173453,124484746,59559937,2673248,2134682,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133905684,52145215,3301487,1639352,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,124013789,56053545,2333340,826365,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32602428,71898596,30113812,1868504,1595860,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51050744,17325789,1473493,1322558,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,38531798,19138561,532457,397731,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26380566,45827080,15379972,1464821,1321254,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35177571,8911453,1268733,1189805,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19436764,9668647,266368,198766,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33521876,43431943,8035380,734951,660202,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38626563,4715163,637686,593781,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,9473412,4932429,133119,98373,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17192359,22429195,4332174,375919,328788,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19709040,2599859,320246,295803,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,4915147,2564575,66612,46958,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47283140,122081556,59563584,2672586,2134904,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133928162,52141733,3299165,1639633,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,76485296,38073370,1063960,795261,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32626474,71221733,30105858,1867837,1586699,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51454870,17317794,1476669,1322382,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,36710031,19132015,531938,397334,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26375471,46272708,15379972,1489486,1321413,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35211796,8917325,1270409,1190208,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19447895,9670176,266291,198844,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33528847,43841215,8041383,761830,660593,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38689538,4731177,638469,594610,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10385466,4936963,149844,98536,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17206946,22764205,4337194,376464,330054,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19676083,2591827,320084,295273,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5123971,2564575,66544,46780,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47224576,127015778,59559157,2872920,2117520,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,134080792,52160740,3307110,1640323,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,124491328,56070307,2350194,827060,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32644459,71252861,30107866,1867912,1586759,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51609854,17325703,1477065,1322744,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,38482893,19134049,532112,397485,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26462052,48395505,15386518,1539737,1321769,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35138380,8911015,1268781,1194018,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19458863,9668647,266347,198778,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33490286,43843087,8041490,761911,660501,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38940273,4721709,638147,594139,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,9473555,4931967,133099,98289,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17191100,22461773,4338736,376430,328988,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19884170,2591827,319924,295459,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,4915699,2564575,66581,46915,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47165332,130573764,59559143,2924564,2117413,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,85236283,34153843,1877962,1588371,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,76557865,38071843,1063947,795026,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32696692,69760861,30116563,1868407,1587413,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51624908,17325789,1476399,1323225,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,38522311,19144420,532243,398157,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26403331,46722187,15379972,1489800,1321592,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35252749,8909467,1296518,1189624,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,19408924,9662101,265877,198422,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33519217,44222052,8039940,757084,660339,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38922320,4723294,637705,594115,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,9497840,4936963,133409,98687,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17207573,22341340,4337194,368759,328800,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19719899,2586884,319818,295334,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5428215,2564575,80324,46863,67108864
tensor_slicing_512x64x64x8_1x1x2x4,cpu,25071692,65117184,29783099,1403116,1139487,19159064
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,45131685,17081791,956148,883826,19159064
tensor_slicing_512x64x64x8_1x1x2x4,dtu,0,38319413,19040257,532266,397711,788529152
tensor_slicing_512x64x64x8_1x1x2x8,cpu,17967377,37331366,15063652,935614,862022,385875968
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,27802365,8666999,739313,725599,385875968
tensor_slicing_512x64x64x8_1x1x2x8,dtu,0,19262256,9570343,266244,198784,385875968
tensor_slicing_512x64x64x8_1x1x2x16,cpu,14475453,24554987,7703944,755564,724814,184549376
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,19595339,4459603,650385,658227,184549376
tensor_slicing_512x64x64x8_1x1x2x16,dtu,0,9298310,4833557,133112,98394,184549376
tensor_slicing_512x64x64x8_1x1x2x32,cpu,16971687,22238173,4020984,376141,328673,83886080
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,19617313,2362451,320077,295241,83886080
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,4942503,2466271,66547,46932,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,8833669,11386351,2164706,185181,161725,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,10052690,1294237,160896,146094,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,2548442,1280077,33231,21014,33554432
tensor_slicing_512x64x64x8_1x1x2x4,cpu,25092300,64128022,29781470,1353570,1148151,788529152
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,44347118,17081791,955247,875141,788529152
tensor_slicing_512x64x64x8_1x1x2x4,dtu,0,37228458,19040257,532233,406463,788529152
tensor_slicing_512x64x64x8_1x1x2x8,cpu,17949401,37315463,15071789,935702,858112,385875968
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,27095413,8666999,737691,725415,385875968
tensor_slicing_512x64x64x8_1x1x2x8,dtu,0,18968341,9565427,309902,198496,385875968
tensor_slicing_512x64x64x8_1x1x2x16,cpu,14479150,23837995,7697439,733679,724799,184549376
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,19047686,4459603,636213,658653,184549376
tensor_slicing_512x64x64x8_1x1x2x16,dtu,0,9293945,4832222,133099,98377,184549376
