benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_512_512_3_5,dtu,0,125271340,156958713,1258961,42189,1307693,65953,382038,19430944,96728317.448405
im2col_720_1080_3_2,cpu,41528154,93462777,187775819,1827631,661884,1828002,638480,7122713,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64633034,75906994,635563,55633,658434,58409,498371,9316096,46556225.682564
im2col_720_1080_3_3,cpu,220531912,337272448,510416591,4127316,1424230,5521583,2182194,15521157,0,104510508.703681
im2col_720_1080_3_3,dtu,0,145352566,169657850,1367363,59584,1475997,77503,537433,20905504,104510508.703681
im2col_720_1080_3_4,cpu,391079204,590926940,904682806,7280246,2466076,9667979,3796202,27008855,16,185368372.285505
im2col_720_1080_3_4,dtu,0,240504124,300435601,2391000,63592,2532535,87956,580440,37108736,185368372.285505
im2col_720_1080_3_5,cpu,609334280,923021200,1410787039,11367178,3845163,15384923,5986986,42128484,0,288966436.730617
im2col_720_1080_3_5,dtu,0,374028861,468607035,3752781,112196,3899431,151458,1032541,57884960,288966436.730617
im2col_512_512_3_2,cpu,14079067,31746222,63251965,583562,238867,648265,214647,2494501,0,15660739.682568
im2col_512_512_3_2,dtu,0,22715605,25546533,213833,22059,251142,17638,194417,3134336,15660739.682568
im2col_512_512_3_3,cpu,31707403,73430827,141505224,1298520,479016,1433679,459659,5130653,0,35097764.368288
im2col_512_512_3_3,dtu,0,53291265,57019511,468738,24017,546666,19098,212339,7176560,35097764.368288
im2col_512_512_3_4,cpu,131799433,201628801,303587207,2268407,838390,3395750,1297514,8975529,0,62151040.594557
im2col_512_512_3_4,dtu,0,93176372,100831348,803103,26102,998363,48724,233780,12450224,62151040.594557
im2col_512_512_3_5,cpu,205324360,311541880,473075865,3543054,1300108,5235199,2011958,13943919,0,96728317.448405
im2col_512_512_3_5,dtu,0,125132373,156967470,1257309,41458,1293691,49506,375030,19423088,96728317.448405
im2col_720_1080_3_2,cpu,41562459,93517225,187783390,1828448,661884,1826988,638506,7123522,0,46556225.682564
im2col_720_1080_3_2,dtu,0,63993437,75906994,635669,55461,656962,58488,497080,9316304,46556225.682564
im2col_720_1080_3_3,cpu,220723964,337532711,510454749,4128839,1423795,5522528,2183432,15519200,0,104510508.703681
im2col_720_1080_3_3,dtu,0,145370892,169658760,1367417,59435,1478574,77439,536275,20905952,104510508.703681
im2col_720_1080_3_4,cpu,391209353,591139598,904693127,7283177,2465872,9686330,3808609,27010145,0,185368372.285505
im2col_720_1080_3_4,dtu,0,240464090,300426990,2390272,63598,2531847,87481,579753,37108864,185368372.285505
im2col_720_1080_3_5,cpu,609715979,923504891,1410797227,11371688,3847859,15358186,5974721,42154562,0,288966436.730617
im2col_720_1080_3_5,dtu,0,373975967,468614823,3753850,112679,3899730,151582,1037384,57886240,288966436.730617
im2col_512_512_3_2,cpu,14019466,31680025,63235534,582775,238605,647669,214453,2491618,0,15660739.682568
im2col_512_512_3_2,dtu,0,22737340,25554881,214147,22225,251473,17811,196054,3134304,15660739.682568
im2col_512_512_3_3,cpu,31712141,73385093,141492000,1298131,478985,1433045,459476,5130016,0,35097764.368288
im2col_512_512_3_3,dtu,0,53279437,57024776,468776,23923,546723,19105,211587,7177184,35097764.368288
im2col_512_512_3_4,cpu,131605699,201413570,303570468,2267035,839552,3393964,1302114,8983452,0,62151040.594557
im2col_512_512_3_4,dtu,0,93130221,100815238,802183,25974,998060,49130,231876,12449568,62151040.594557
im2col_512_512_3_5,cpu,205027434,311291152,473072575,3543409,1300496,5237847,2014178,13947386,0,96728317.448405
im2col_512_512_3_5,dtu,0,124417415,156981378,1258497,41463,1295764,52541,376212,19423840,96728317.448405
